Delivery_ID,Date,Region,Product_Type,Quantity_kg,Distance_km,Vehicle_Type,Weather,Traffic_Level,Logistics_Partner,Temperature_C,Predicted_Time_hr,Delivery_Time_hr,Delay_Min,Fuel_Efficiency_km_per_litre,Fuel_Cost_USD,Customer_Rating,Delivery_Status,Payment_Status
11,29/10/2024,Ibadan,Fresh Fish,306,616,Truck,Sunny,Low,EcoMove,24.9,11.77,11.77,0,6.49,132.88,5,On-Time,Paid
12,13/12/2023,Ibadan,Frozen Fish,1067,776,Van,Stormy,Medium,FishFleet,27.6,11.34,12.54,72,8.09,134.29,2,Delayed,Pending
13,12/03/2023,Benin,Frozen Fish,1291,785,Van,Sunny,Medium,BlueWave Logistics,35.6,16.88,16.88,0,8.56,128.39,5,On-Time,Pending
14,02/02/2023,Kaduna,Frozen Fish,252,63,Truck,Rainy,Low,BlueWave Logistics,27.6,1.12,2.02,54,11.16,7.9,3.3,Delayed,Paid
15,12/04/2023,Benin,Fresh Fish,704,327,Truck,Sunny,Medium,MarineXpress,35.9,6.91,6.91,0,9.08,50.42,5,On-Time,Paid
16,10/08/2023,Benin,Frozen Fish,304,441,Van,Rainy,Low,FishFleet,32.3,8.79,10.17,82.8,7.58,81.45,2.4,Delayed,Paid
17,30/07/2023,Port Harcourt,Frozen Fish,1169,509,Truck,Sunny,Low,EcoMove,25.1,12.03,12.03,0,11.14,63.97,4.5,On-Time,Paid
18,25/09/2023,Enugu,Frozen Fish,1421,405,Van,Sunny,High,EcoMove,25.4,9.97,11.41,86.4,6.48,87.5,1,Delayed,Paid
19,24/09/2023,Lagos,Frozen Fish,180,459,Truck,Sunny,Medium,FishFleet,26.4,10.4,10.4,0,11.39,56.42,4.5,On-Time,Pending
20,28/12/2023,Kano,Frozen Fish,676,382,Truck,Rainy,Medium,BlueWave Logistics,36.8,7.87,8.21,20.4,8.39,63.74,3.8,Delayed,Paid
21,25/04/2023,Kano,Fresh Fish,337,561,Van,Rainy,Medium,FishFleet,33.3,9.3,10.59,77.4,4.64,169.27,3.1,Delayed,Paid
22,08/01/2023,Ibadan,Frozen Fish,709,307,Van,Sunny,Medium,BlueWave Logistics,24.4,5.16,5.16,0,7.6,56.55,4.5,On-Time,Pending
23,06/05/2023,Port Harcourt,Fresh Fish,105,210,Truck,Sunny,Low,BlueWave Logistics,28.9,3.8,3.8,0,7.74,37.98,4.4,On-Time,Paid
24,21/03/2023,Ibadan,Frozen Fish,383,628,Truck,Sunny,Low,FishFleet,32.2,11.83,11.83,0,9.38,93.73,4.3,On-Time,Paid
25,22/02/2023,Ibadan,Frozen Fish,859,757,Truck,Rainy,Medium,MarineXpress,27.2,13.95,14.95,60,10.89,97.32,3.1,Delayed,Paid
26,19/04/2024,Lagos,Frozen Fish,890,414,Truck,Sunny,High,FishFleet,36.6,7.38,9.76,142.8,10.56,54.89,1,Delayed,Paid
27,29/05/2023,Ibadan,Fresh Fish,1257,128,Van,Sunny,Medium,BlueWave Logistics,30.8,2.11,2.11,0,5.31,33.75,4.9,On-Time,Paid
28,12/06/2023,Ibadan,Frozen Fish,736,675,Truck,Sunny,High,EcoMove,33.8,10.96,12.37,84.6,4.77,198.11,2.7,Delayed,Paid
29,04/01/2024,Enugu,Fresh Fish,713,468,Truck,Sunny,Low,EcoMove,35.1,7.03,7.03,0,11.05,59.29,5,On-Time,Pending
30,27/08/2024,Lagos,Frozen Fish,858,320,Truck,Sunny,Low,EcoMove,28.2,6.28,6.28,0,7.18,62.4,5,On-Time,Paid
31,18/03/2024,Kaduna,Frozen Fish,53,517,Van,Rainy,Medium,FishFleet,38.2,11.26,12.68,85.2,5.13,141.09,2.1,Delayed,Paid
32,02/01/2024,Port Harcourt,Frozen Fish,484,178,Truck,Sunny,Low,FishFleet,30.9,3.49,3.49,0,6.64,37.53,5,On-Time,Paid
33,15/03/2024,Kaduna,Frozen Fish,1033,222,Motorcycle,Sunny,Low,EcoMove,31.5,4.04,4.04,0,10.61,29.29,4.6,On-Time,Paid
34,03/03/2024,Benin,Frozen Fish,831,698,Truck,Sunny,Low,BlueWave Logistics,30.7,12.37,12.37,0,11.9,82.12,5,On-Time,Pending
35,18/12/2023,Enugu,Frozen Fish,1467,703,Truck,Stormy,Medium,MarineXpress,29.8,10.79,11.26,28.2,10.74,91.64,3.5,Delayed,Paid
36,02/03/2024,Kano,Frozen Fish,1237,610,Motorcycle,Sunny,High,MarineXpress,27,13.68,14.53,51,7.44,114.78,3.6,Delayed,Pending
37,04/04/2024,Benin,Fresh Fish,1044,45,Van,Sunny,Low,FishFleet,33.3,0.73,0.73,0,11.53,5.46,4.7,On-Time,Paid
38,19/04/2023,Kaduna,Fresh Fish,1451,55,Truck,Stormy,Low,EcoMove,30.5,0.97,1.43,27.6,11.07,6.96,3.9,Delayed,Pending
39,19/10/2024,Lagos,Frozen Fish,97,521,Van,Sunny,Medium,BlueWave Logistics,28.9,9.68,9.68,0,7.2,101.31,5,On-Time,Pending
40,15/12/2024,Kano,Frozen Fish,650,348,Truck,Rainy,Medium,FishFleet,28.4,5.24,6.36,67.2,10.46,46.58,2.8,Delayed,Paid
41,23/05/2024,Ibadan,Fresh Fish,1405,682,Van,Sunny,High,BlueWave Logistics,29.9,12.07,13.98,114.6,6.18,154.5,1.9,Delayed,Paid
42,09/12/2023,Lagos,Frozen Fish,877,710,Truck,Sunny,Medium,EcoMove,32.9,10.96,10.96,0,8.53,116.53,5,On-Time,Paid
43,28/08/2024,Kano,Fresh Fish,1229,663,Motorcycle,Sunny,Low,EcoMove,32.6,10.49,10.49,0,6.83,135.9,4.4,On-Time,Paid
44,12/05/2023,Kaduna,Fresh Fish,742,682,Van,Sunny,Low,BlueWave Logistics,37.9,13.7,13.7,0,8.81,108.38,5,On-Time,Paid
45,08/03/2023,Benin,Fresh Fish,1082,441,Van,Rainy,Medium,BlueWave Logistics,29.8,7.44,9.15,102.6,8.63,71.54,1.7,Delayed,Paid
46,14/06/2023,Ibadan,Frozen Fish,201,380,Van,Sunny,Medium,BlueWave Logistics,27.4,7.4,7.4,0,4.84,109.92,4.2,On-Time,Paid
47,12/02/2023,Ibadan,Frozen Fish,709,238,Truck,Sunny,Medium,BlueWave Logistics,30.9,4.56,4.56,0,11.13,29.94,4.7,On-Time,Paid
48,30/04/2024,Port Harcourt,Fresh Fish,1014,566,Motorcycle,Sunny,Medium,MarineXpress,33.4,8.49,8.49,0,5.96,132.95,4.6,On-Time,Paid
49,26/03/2024,Lagos,Frozen Fish,76,338,Truck,Sunny,Medium,MarineXpress,32.6,6.75,6.75,0,7.16,66.09,4.5,On-Time,Paid
50,13/07/2024,Benin,Fresh Fish,1037,678,Truck,Sunny,High,BlueWave Logistics,31.3,10.05,12.03,118.8,7.84,121.07,1,Delayed,Paid
51,29/11/2023,Ibadan,Frozen Fish,662,65,Van,Rainy,Medium,EcoMove,31.4,1,1.7,42,8.74,10.41,3.6,Delayed,Paid
52,08/02/2024,Kano,Fresh Fish,1272,505,Motorcycle,Stormy,Medium,FishFleet,26,7.3,8.23,55.8,6.89,102.61,3,Delayed,Paid
53,25/06/2024,Port Harcourt,Frozen Fish,132,763,Truck,Sunny,Medium,MarineXpress,32.1,17.09,17.09,0,11.73,91.07,4.6,On-Time,Paid
54,14/10/2023,Port Harcourt,Frozen Fish,1127,251,Motorcycle,Sunny,High,BlueWave Logistics,27.7,5.85,7.01,69.6,9.66,36.38,4.6,Delayed,Paid
55,25/08/2023,Enugu,Fresh Fish,1216,736,Truck,Sunny,High,BlueWave Logistics,29.7,17.93,20.21,136.8,9.09,113.36,1,Delayed,Paid
56,07/01/2023,Kaduna,Frozen Fish,1326,362,Motorcycle,Sunny,Low,EcoMove,30.2,5.33,5.33,0,9.2,55.09,4.7,On-Time,Paid
57,29/06/2023,Lagos,Frozen Fish,146,397,Van,Sunny,Medium,FishFleet,29.4,9.92,9.92,0,10.34,53.75,5,On-Time,Pending
58,11/02/2023,Benin,Frozen Fish,920,696,Truck,Sunny,Low,MarineXpress,32.4,17.29,17.29,0,5.61,173.69,4.5,On-Time,Paid
59,25/04/2024,Enugu,Frozen Fish,278,342,Motorcycle,Sunny,Low,MarineXpress,28.7,7.27,7.27,0,5.26,91.03,5,On-Time,Pending
60,14/11/2023,Enugu,Fresh Fish,1068,72,Truck,Sunny,High,EcoMove,28.1,1.23,3.4,130.2,10.38,9.71,1.1,Delayed,Paid
61,12/02/2023,Lagos,Frozen Fish,1270,165,Van,Sunny,Low,MarineXpress,29.9,3.89,3.89,0,5.93,38.95,5,On-Time,Paid
62,22/12/2023,Kano,Frozen Fish,1244,616,Motorcycle,Sunny,Low,EcoMove,33.6,11.41,11.41,0,4.47,192.93,5,On-Time,Paid
63,20/12/2024,Benin,Frozen Fish,881,423,Motorcycle,Stormy,Medium,FishFleet,27.8,7.65,8.5,51,10.95,54.08,3,Delayed,Paid
64,22/01/2024,Kaduna,Frozen Fish,563,273,Van,Sunny,Medium,EcoMove,37.7,4.66,4.66,0,9.83,38.88,5,On-Time,Paid
65,22/05/2024,Lagos,Fresh Fish,1359,595,Truck,Sunny,Low,BlueWave Logistics,31.1,10.74,10.74,0,6.46,128.95,4.5,On-Time,Paid
66,21/09/2023,Benin,Frozen Fish,546,193,Van,Sunny,High,FishFleet,27,2.76,4.69,115.8,11.69,23.11,1,Delayed,Paid
67,24/12/2023,Enugu,Fresh Fish,508,101,Van,Rainy,Low,MarineXpress,30,1.6,2.76,69.6,4.08,34.66,3,Delayed,Paid
68,28/10/2023,Enugu,Frozen Fish,1106,308,Motorcycle,Sunny,Medium,FishFleet,30.3,6.65,6.65,0,11.45,37.66,5,On-Time,Pending
69,08/08/2023,Lagos,Frozen Fish,826,170,Truck,Sunny,Medium,EcoMove,27.1,3.84,3.84,0,6.65,35.79,5,On-Time,Paid
70,16/11/2024,Benin,Fresh Fish,1453,570,Van,Sunny,Low,MarineXpress,26.4,13.48,13.48,0,6.94,114.99,5,On-Time,Paid
71,06/11/2024,Enugu,Frozen Fish,1061,163,Truck,Sunny,Low,BlueWave Logistics,35.1,3.51,3.51,0,11.57,19.72,5,On-Time,Paid
72,30/11/2023,Lagos,Frozen Fish,103,53,Truck,Stormy,Low,FishFleet,31.1,1.32,1.7,22.8,6.79,10.93,3.7,Delayed,Paid
73,18/04/2023,Port Harcourt,Frozen Fish,380,469,Truck,Sunny,Medium,FishFleet,28,10.43,10.43,0,8.05,81.57,5,On-Time,Paid
74,26/03/2023,Lagos,Frozen Fish,146,666,Truck,Rainy,Low,EcoMove,19.5,11.36,11.86,30,8.96,104.06,4.1,Delayed,Paid
75,23/04/2023,Kaduna,Frozen Fish,554,228,Van,Sunny,Medium,BlueWave Logistics,30.8,5.1,5.1,0,5.33,59.89,5,On-Time,Paid
76,04/10/2024,Lagos,Fresh Fish,197,197,Van,Sunny,Low,FishFleet,25.9,3.74,3.74,0,4.01,68.78,5,On-Time,Paid
77,08/08/2023,Port Harcourt,Frozen Fish,566,52,Van,Rainy,Medium,EcoMove,26,0.81,1.96,69,10.2,7.14,3.4,Delayed,Paid
78,08/10/2023,Benin,Frozen Fish,329,608,Motorcycle,Rainy,Low,BlueWave Logistics,31.3,9.15,10.7,93,4.54,187.49,1.6,Delayed,Paid
79,17/01/2023,Benin,Fresh Fish,465,109,Truck,Rainy,Medium,FishFleet,25.4,2.51,3.04,31.8,9.4,16.23,3.9,Delayed,Paid
80,05/08/2024,Enugu,Fresh Fish,1360,285,Truck,Sunny,Medium,EcoMove,26.1,4.77,4.77,0,9.94,40.14,5,On-Time,Paid
81,11/06/2024,Ibadan,Frozen Fish,1179,25,Truck,Rainy,Low,FishFleet,30.7,0.51,1.05,32.4,7.83,4.47,3.9,Delayed,Paid
82,03/09/2023,Kaduna,Frozen Fish,605,489,Van,Rainy,High,MarineXpress,33.9,8.74,11.19,147,11.81,57.97,1,Delayed,Paid
83,29/05/2023,Benin,Frozen Fish,255,798,Van,Sunny,Low,MarineXpress,27.2,19.13,19.13,0,10.86,102.87,5,On-Time,Paid
84,15/09/2023,Enugu,Frozen Fish,1051,645,Van,Sunny,Low,BlueWave Logistics,36.6,11.57,11.57,0,10.57,85.43,4.6,On-Time,Paid
85,16/12/2023,Enugu,Frozen Fish,167,420,Van,Sunny,Low,FishFleet,23.7,6.75,6.75,0,7.15,82.24,4.4,On-Time,Paid
86,28/06/2024,Kaduna,Frozen Fish,529,589,Van,Sunny,High,BlueWave Logistics,26.4,14.34,15.88,92.4,5.28,156.17,1.5,Delayed,Paid
87,28/09/2024,Kaduna,Frozen Fish,902,178,Motorcycle,Sunny,Low,MarineXpress,22.3,2.69,2.69,0,4.08,61.08,5,On-Time,Paid
88,13/04/2023,Enugu,Frozen Fish,1444,757,Truck,Rainy,Low,MarineXpress,26.8,12.39,12.96,34.2,9.88,107.27,2.8,Delayed,Paid
89,08/05/2024,Port Harcourt,Frozen Fish,277,265,Motorcycle,Sunny,Medium,FishFleet,24.6,4.25,4.25,0,8.86,41.87,4.8,On-Time,Paid
90,07/08/2024,Ibadan,Frozen Fish,1354,172,Truck,Sunny,Low,EcoMove,24.5,3.35,3.35,0,7.72,31.19,4.7,On-Time,Paid
91,01/04/2024,Port Harcourt,Frozen Fish,1190,149,Truck,Sunny,Medium,BlueWave Logistics,28,2.76,2.76,0,5.71,36.53,5,On-Time,Paid
92,11/02/2024,Kano,Frozen Fish,703,569,Van,Rainy,High,MarineXpress,27.8,10.86,12.53,100.2,9.65,82.55,1.5,Delayed,Paid
93,30/07/2023,Port Harcourt,Fresh Fish,590,225,Truck,Rainy,Medium,BlueWave Logistics,26.9,3.66,3.98,19.2,10.2,30.88,4.4,Delayed,Pending
94,14/09/2024,Enugu,Fresh Fish,1098,624,Van,Sunny,Medium,BlueWave Logistics,32.2,13.86,13.86,0,7.59,115.1,5,On-Time,Paid
95,04/12/2023,Kaduna,Fresh Fish,136,343,Van,Rainy,Medium,FishFleet,27.5,8.07,9.69,97.2,7.6,63.18,1.7,Delayed,Paid
96,27/07/2024,Lagos,Frozen Fish,1260,592,Truck,Sunny,Low,MarineXpress,34.6,9.95,9.95,0,10.21,81.18,5,On-Time,Pending
97,26/12/2024,Lagos,Fresh Fish,661,652,Truck,Sunny,Medium,EcoMove,31.5,10.04,10.04,0,6.71,136.04,5,On-Time,Paid
98,21/01/2023,Kaduna,Frozen Fish,1002,111,Truck,Stormy,Medium,FishFleet,27.8,2.42,2.8,22.8,5.28,29.43,4.4,Delayed,Pending
99,15/10/2023,Port Harcourt,Frozen Fish,1057,559,Motorcycle,Rainy,High,EcoMove,24.9,9.07,11.54,148.2,4.94,158.42,1,Delayed,Paid
100,12/06/2024,Kaduna,Fresh Fish,1328,739,Van,Rainy,Medium,BlueWave Logistics,29.3,14.94,16.52,94.8,7.36,140.57,1.2,Delayed,Paid
101,09/01/2023,Kano,Frozen Fish,1469,147,Van,Rainy,Medium,EcoMove,36,2.96,3.64,40.8,11.85,17.37,3.7,Delayed,Pending
102,25/10/2024,Benin,Frozen Fish,227,166,Truck,Sunny,Medium,EcoMove,36.4,3.67,3.67,0,5.09,45.66,5,On-Time,Paid
103,19/12/2024,Kaduna,Frozen Fish,189,606,Van,Sunny,Medium,BlueWave Logistics,24.3,10.06,10.06,0,8.46,100.28,5,On-Time,Pending
104,31/12/2023,Lagos,Frozen Fish,1155,357,Van,Rainy,Medium,BlueWave Logistics,33.2,6.3,7.13,49.8,7.78,64.24,2.3,Delayed,Paid
105,30/05/2024,Ibadan,Fresh Fish,481,232,Truck,Sunny,High,MarineXpress,25.7,4.13,5.08,57,10.66,30.47,2.8,Delayed,Paid
106,09/09/2024,Kaduna,Fresh Fish,995,281,Truck,Rainy,High,FishFleet,27,6.45,8.97,151.2,4.24,92.78,1,Delayed,Pending
107,12/11/2023,Kano,Frozen Fish,580,663,Truck,Sunny,Low,FishFleet,35.1,13.81,13.81,0,4.7,197.49,4.3,On-Time,Paid
108,23/09/2023,Ibadan,Fresh Fish,417,100,Truck,Sunny,Low,FishFleet,27.4,1.91,1.91,0,9.29,15.07,4.8,On-Time,Paid
109,11/03/2023,Kano,Frozen Fish,816,502,Truck,Stormy,Medium,MarineXpress,28.2,8.53,9.97,86.4,9.01,78,2.2,Delayed,Paid
110,14/02/2023,Ibadan,Fresh Fish,102,5,Van,Sunny,Medium,EcoMove,31.3,0.09,0.09,0,6.18,1.13,5,On-Time,Paid
111,05/11/2024,Kaduna,Fresh Fish,596,183,Van,Sunny,Medium,BlueWave Logistics,28.7,3.31,3.31,0,6.9,37.13,4.8,On-Time,Paid
112,18/02/2024,Lagos,Frozen Fish,1442,165,Truck,Sunny,Low,MarineXpress,31,2.71,2.71,0,6.09,37.93,5,On-Time,Paid
113,26/03/2024,Ibadan,Frozen Fish,716,542,Van,Rainy,Medium,MarineXpress,27.5,7.95,9.27,79.2,5.96,127.32,2.6,Delayed,Paid
114,31/03/2024,Enugu,Frozen Fish,791,314,Motorcycle,Sunny,Medium,EcoMove,34.2,4.65,4.65,0,10.92,40.26,4.8,On-Time,Paid
115,12/02/2024,Benin,Fresh Fish,1124,49,Motorcycle,Sunny,Low,FishFleet,27.4,0.86,0.86,0,7.5,9.15,5,On-Time,Paid
116,10/11/2024,Kano,Frozen Fish,1434,671,Van,Rainy,Medium,BlueWave Logistics,37.6,11.39,12.48,65.4,4.37,214.97,3.1,Delayed,Paid
117,13/04/2024,Ibadan,Fresh Fish,964,32,Truck,Sunny,Medium,EcoMove,30.4,0.65,0.65,0,11.61,3.86,4.4,On-Time,Paid
118,23/04/2023,Kano,Frozen Fish,92,216,Truck,Sunny,Medium,MarineXpress,30.2,4.33,4.33,0,4.52,66.9,5,On-Time,Paid
119,03/08/2024,Lagos,Fresh Fish,576,524,Truck,Stormy,Low,EcoMove,29.8,10.68,11.91,73.8,7.83,93.69,2.7,Delayed,Paid
120,01/06/2023,Kano,Frozen Fish,705,9,Van,Rainy,Medium,BlueWave Logistics,34.1,0.17,0.57,24,9.71,1.3,3.5,Delayed,Paid
121,04/11/2024,Kano,Frozen Fish,916,527,Truck,Sunny,High,EcoMove,26.9,12.27,14.01,104.4,4.75,155.33,1.5,Delayed,Paid
122,28/02/2024,Enugu,Frozen Fish,1142,345,Van,Rainy,Medium,FishFleet,28.3,6.5,7.68,70.8,4.34,111.29,2.6,Delayed,Pending
123,02/03/2024,Kano,Frozen Fish,134,204,Motorcycle,Sunny,High,BlueWave Logistics,34,4.65,6.37,103.2,7.08,40.34,1.5,Delayed,Paid
124,16/10/2024,Ibadan,Frozen Fish,1242,670,Motorcycle,Sunny,Medium,FishFleet,27.7,10.32,10.32,0,5.47,171.48,4.4,On-Time,Paid
125,23/04/2024,Kano,Frozen Fish,1034,638,Motorcycle,Sunny,High,BlueWave Logistics,30.9,11.34,13.21,112.2,8.24,108.4,2,Delayed,Paid
126,24/02/2023,Kaduna,Frozen Fish,79,192,Truck,Sunny,Medium,MarineXpress,30.5,3.07,3.07,0,7.04,38.18,5,On-Time,Pending
127,10/10/2023,Kano,Frozen Fish,1220,306,Motorcycle,Rainy,Low,MarineXpress,28.2,6.57,8.37,108,4.95,86.55,1.2,Delayed,Paid
128,30/01/2024,Kaduna,Frozen Fish,137,144,Van,Rainy,Medium,EcoMove,28.3,2.85,3.55,42,4.24,47.55,3.6,Delayed,Paid
129,10/11/2023,Benin,Frozen Fish,1375,751,Van,Sunny,Medium,FishFleet,36.6,17.74,17.74,0,5.95,176.71,4.7,On-Time,Paid
130,19/08/2023,Kano,Frozen Fish,877,17,Truck,Sunny,High,FishFleet,33,0.26,2.7,146.4,7.62,3.12,1,Delayed,Paid
131,06/06/2023,Port Harcourt,Fresh Fish,640,718,Motorcycle,Sunny,Medium,EcoMove,35.2,12.15,12.15,0,8.28,121.4,5,On-Time,Paid
132,18/07/2024,Benin,Frozen Fish,1097,376,Truck,Sunny,Medium,EcoMove,24.2,7.22,7.22,0,8.09,65.07,3.8,On-Time,Paid
133,28/01/2023,Port Harcourt,Frozen Fish,1493,353,Truck,Sunny,Low,BlueWave Logistics,33.1,5.09,5.09,0,8.18,60.42,5,On-Time,Paid
134,25/03/2023,Kano,Fresh Fish,226,268,Truck,Sunny,Medium,BlueWave Logistics,33.9,5.84,5.84,0,7.17,52.33,4.8,On-Time,Paid
135,30/11/2023,Ibadan,Frozen Fish,1260,430,Van,Sunny,Low,BlueWave Logistics,31.5,8.62,8.62,0,8.05,74.78,4.5,On-Time,Paid
136,18/05/2023,Port Harcourt,Frozen Fish,831,106,Van,Sunny,Medium,MarineXpress,24.5,1.91,1.91,0,10.41,14.26,5,On-Time,Paid
137,29/07/2024,Kaduna,Frozen Fish,1287,709,Motorcycle,Sunny,Low,MarineXpress,38.8,11.76,11.76,0,4.53,219.12,5,On-Time,Paid
138,02/10/2023,Benin,Frozen Fish,1368,397,Truck,Sunny,High,EcoMove,33.9,7.02,8.37,81,7.88,70.53,2.6,Delayed,Paid
139,30/04/2024,Benin,Fresh Fish,737,648,Truck,Sunny,Medium,EcoMove,38.4,9.97,9.97,0,8.41,107.87,4.1,On-Time,Paid
140,10/03/2023,Kaduna,Frozen Fish,641,357,Van,Rainy,Low,BlueWave Logistics,23.8,7.63,8.22,35.4,6.02,83.02,3.7,Delayed,Paid
141,12/12/2024,Enugu,Frozen Fish,799,315,Truck,Sunny,Medium,MarineXpress,34.4,4.63,4.63,0,4.3,102.56,4.9,On-Time,Paid
142,17/07/2023,Kano,Fresh Fish,1270,504,Van,Sunny,Medium,MarineXpress,28.8,8.67,8.67,0,11.9,59.29,5,On-Time,Paid
143,29/08/2024,Kano,Frozen Fish,858,217,Truck,Rainy,Low,MarineXpress,28.4,4.17,4.67,30,8.51,35.7,4,Delayed,Paid
144,01/08/2024,Ibadan,Frozen Fish,852,383,Van,Sunny,Medium,FishFleet,29,6.55,6.55,0,11.72,45.75,4.2,On-Time,Paid
145,05/02/2023,Enugu,Fresh Fish,497,59,Van,Stormy,Medium,BlueWave Logistics,32.4,1.32,2.07,45,8.74,9.45,2.8,Delayed,Pending
146,01/09/2023,Enugu,Frozen Fish,1254,100,Truck,Sunny,Low,EcoMove,26.1,1.81,1.81,0,5.16,27.13,3.9,On-Time,Paid
147,05/11/2023,Port Harcourt,Frozen Fish,103,317,Truck,Stormy,High,EcoMove,25.7,5.84,8.49,159,10,44.38,1,Delayed,Paid
148,04/08/2024,Ibadan,Frozen Fish,214,189,Truck,Rainy,Medium,FishFleet,26.5,4.49,4.91,25.2,5.03,52.6,4.3,Delayed,Paid
149,30/08/2023,Benin,Frozen Fish,485,427,Van,Stormy,Medium,BlueWave Logistics,29,7.21,7.7,29.4,11.79,50.7,4.2,Delayed,Pending
150,25/07/2023,Kaduna,Frozen Fish,1329,672,Van,Sunny,Medium,EcoMove,29.5,12.39,12.39,0,6.28,149.81,5,On-Time,Pending
151,09/01/2023,Benin,Fresh Fish,1371,670,Motorcycle,Sunny,Medium,EcoMove,29.4,10.06,10.06,0,6.39,146.79,4.5,On-Time,Paid
152,21/04/2024,Lagos,Frozen Fish,1209,509,Motorcycle,Rainy,Medium,FishFleet,31.6,7.63,8.62,59.4,10.65,66.91,3.3,Delayed,Paid
153,12/06/2024,Ibadan,Frozen Fish,526,617,Motorcycle,Stormy,High,EcoMove,35.3,12.84,14.87,121.8,11.7,73.83,1,Delayed,Paid
154,02/07/2023,Kaduna,Frozen Fish,773,358,Truck,Rainy,Medium,BlueWave Logistics,33.4,5.87,7.03,69.6,11.06,45.32,3,Delayed,Paid
155,07/04/2023,Benin,Fresh Fish,802,77,Van,Rainy,Medium,MarineXpress,33.7,1.11,1.97,51.6,11.96,9.01,3,Delayed,Pending
156,30/11/2023,Benin,Frozen Fish,1187,26,Van,Rainy,Medium,BlueWave Logistics,28.8,0.56,2.06,90,6.15,5.92,1.5,Delayed,Paid
157,21/11/2023,Enugu,Frozen Fish,406,205,Van,Sunny,Medium,FishFleet,28.9,4.38,4.38,0,9.2,31.2,5,On-Time,Paid
158,09/01/2023,Ibadan,Frozen Fish,472,177,Motorcycle,Stormy,Medium,BlueWave Logistics,30.5,4.24,5.42,70.8,9.25,26.79,2.9,Delayed,Paid
159,22/03/2023,Lagos,Frozen Fish,366,659,Truck,Sunny,Low,MarineXpress,27.9,10.92,10.92,0,7.36,125.35,5,On-Time,Paid
160,05/05/2024,Kano,Frozen Fish,1260,453,Truck,Sunny,Medium,MarineXpress,32.4,7.26,7.26,0,7.36,86.17,5,On-Time,Paid
161,20/09/2024,Ibadan,Fresh Fish,1339,356,Truck,Rainy,Medium,BlueWave Logistics,30.7,5.77,6.9,67.8,7.17,69.51,2.5,Delayed,Paid
162,25/01/2024,Lagos,Frozen Fish,752,499,Truck,Rainy,Medium,BlueWave Logistics,29.6,7.53,8.83,78,8.05,86.78,2.7,Delayed,Paid
163,27/04/2024,Lagos,Frozen Fish,1015,150,Van,Rainy,Medium,EcoMove,32.9,3.48,3.94,27.6,9.23,22.75,4.6,Delayed,Paid
164,16/10/2024,Ibadan,Frozen Fish,596,271,Van,Sunny,Low,MarineXpress,33.6,4.86,4.86,0,6.8,55.79,4.7,On-Time,Paid
165,11/12/2024,Kaduna,Fresh Fish,908,392,Van,Sunny,Low,BlueWave Logistics,23.9,6.3,6.3,0,8.02,68.43,5,On-Time,Pending
166,28/04/2023,Ibadan,Frozen Fish,91,38,Truck,Rainy,Low,BlueWave Logistics,25.5,0.84,1.78,56.4,9.22,5.77,2.7,Delayed,Paid
167,16/08/2024,Benin,Fresh Fish,1161,308,Motorcycle,Sunny,Medium,FishFleet,33.9,5.55,5.55,0,6.77,63.69,5,On-Time,Paid
168,30/09/2023,Port Harcourt,Fresh Fish,1358,87,Motorcycle,Rainy,Medium,FishFleet,32.4,1.28,2.59,78.6,8.31,14.66,2.6,Delayed,Paid
